Variable 1,Variable 2,Correlation,P-value
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73FI = What is the intensity of exercise/activity F?,0.9999880132170194,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73FFD = How many times per day do you do exercise/activity F?,0.9999879922742719,0.0
C4H73FFD = How many times per day do you do exercise/activity F?,C4H73FFW = How many days per week do you do exercise/activity F?,0.9999879922742719,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73FFD = How many times per day do you do exercise/activity F?,0.9999831091394994,0.0
C4H73FFD = How many times per day do you do exercise/activity F?,C4H73FI = What is the intensity of exercise/activity F?,0.9999831091394994,0.0
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4H73FS = Seasonal exercise/activity F?,0.999982891070067,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.999982891070067,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73FFW = How many days per week do you do exercise/activity F?,0.9999693784790594,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73FC = Exercise/Activity F – Coded,0.9999693784790594,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73FS = Seasonal exercise/activity F?,0.9999675923514154,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73FC = Exercise/Activity F – Coded,0.9999675923514154,0.0
C4H73FFD = How many times per day do you do exercise/activity F?,C4H73FC = Exercise/Activity F – Coded,0.9999664828736441,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73FFD = How many times per day do you do exercise/activity F?,0.9999664828736441,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.999962265107513,0.0
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4H73FC = Exercise/Activity F – Coded,0.999962265107513,0.0
C4H73FFD = How many times per day do you do exercise/activity F?,C4H73FS = Seasonal exercise/activity F?,0.9999611363492947,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73FFD = How many times per day do you do exercise/activity F?,0.9999611363492947,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73FC = Exercise/Activity F – Coded,0.9999588287473922,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73FI = What is the intensity of exercise/activity F?,0.9999588287473922,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73FI = What is the intensity of exercise/activity F?,0.999955297355988,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73FS = Seasonal exercise/activity F?,0.999955297355988,0.0
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4H73FFD = How many times per day do you do exercise/activity F?,0.9999506358499188,0.0
C4H73FFD = How many times per day do you do exercise/activity F?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.9999506358499188,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73FFW = How many days per week do you do exercise/activity F?,0.9999430235425619,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73FS = Seasonal exercise/activity F?,0.9999430235425619,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.9999335589498624,0.0
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4H73FFW = How many days per week do you do exercise/activity F?,0.9999335589498624,0.0
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4H73FI = What is the intensity of exercise/activity F?,0.9999277214395459,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.9999277214395459,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73EFW = How many days per week do you do exercise/activity E?,0.9998659614718246,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73EFD = How many times per day do you do exercise/activity E?,0.9998659614718246,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73EI = What is the intensity of exercise/activity E?,0.9998238724657791,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73EFD = How many times per day do you do exercise/activity E?,0.9998238724657791,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73ES = Seasonal exercise/activity E?,0.9998095040458452,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.9998095040458452,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73EFD = How many times per day do you do exercise/activity E?,0.9998090719125533,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73ES = Seasonal exercise/activity E?,0.9998090719125533,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73EFD = How many times per day do you do exercise/activity E?,0.9998044934516355,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.9998044934516355,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73EC = Exercise/Activity E – Coded,0.9997946050891463,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73EI = What is the intensity of exercise/activity E?,0.9997946050891463,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.9997776127051632,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73EC = Exercise/Activity E – Coded,0.9997776127051632,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73EFW = How many days per week do you do exercise/activity E?,0.9997734795415374,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73EI = What is the intensity of exercise/activity E?,0.9997734795415374,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73EFD = How many times per day do you do exercise/activity E?,0.9997600505230221,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73EC = Exercise/Activity E – Coded,0.9997600505230221,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.9997138902052032,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73EI = What is the intensity of exercise/activity E?,0.9997138902052032,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73EC = Exercise/Activity E – Coded,0.9996619994879229,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73ES = Seasonal exercise/activity E?,0.9996619994879229,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73EFW = How many days per week do you do exercise/activity E?,0.9996502691284455,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73ES = Seasonal exercise/activity E?,0.9996502691284455,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73EFW = How many days per week do you do exercise/activity E?,0.9996402941489824,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.9996402941489824,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73ES = Seasonal exercise/activity E?,0.9996207911185819,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73EI = What is the intensity of exercise/activity E?,0.9996207911185819,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73EFW = How many days per week do you do exercise/activity E?,0.9996156467903188,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73EC = Exercise/Activity E – Coded,0.9996156467903188,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73DFD = How many times per day do you do exercise/activity D?,0.9992114921431152,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73DS = Seasonal exercise/activity D?,0.9992114921431152,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73DFW = How many days per week do you do exercise/activity D?,0.9990371162583542,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73DFD = How many times per day do you do exercise/activity D?,0.9990371162583542,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73DFD = How many times per day do you do exercise/activity D?,0.9990219047505025,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73DI = What is the intensity of exercise/activity D?,0.9990219047505025,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73DFD = How many times per day do you do exercise/activity D?,0.9988862310190315,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73DC = Exercise/Activity D – Coded,0.9988862310190315,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73DFD = How many times per day do you do exercise/activity D?,0.9987735246835308,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.9987735246835308,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.9985748482541991,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73DS = Seasonal exercise/activity D?,0.9985748482541991,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73DS = Seasonal exercise/activity D?,0.9984895022068875,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73DC = Exercise/Activity D – Coded,0.9984895022068875,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73DI = What is the intensity of exercise/activity D?,0.9984147364876393,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73DFW = How many days per week do you do exercise/activity D?,0.9984147364876393,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73DC = Exercise/Activity D – Coded,0.9982622665459786,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73DI = What is the intensity of exercise/activity D?,0.9982622665459786,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73DFW = How many days per week do you do exercise/activity D?,0.998251629393383,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73DS = Seasonal exercise/activity D?,0.998251629393383,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73DFW = How many days per week do you do exercise/activity D?,0.9982468555265317,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73DC = Exercise/Activity D – Coded,0.9982468555265317,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73DI = What is the intensity of exercise/activity D?,0.9980179030327248,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.9980179030327248,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73DI = What is the intensity of exercise/activity D?,0.9979936656101144,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73DS = Seasonal exercise/activity D?,0.9979936656101144,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73DC = Exercise/Activity D – Coded,0.9979600515367746,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.9979600515367746,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73DFW = How many days per week do you do exercise/activity D?,0.99737623730557,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.99737623730557,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73CS = Seasonal exercise/activity C?,0.9863694006598643,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.9863694006598643,0.0
C1PA24 = High blood pressure ever diagnosed,C1PA24B = Ever taken high blood pressure medicine,0.9863448093746935,0.0
C1PA24B = Ever taken high blood pressure medicine,C1PA24 = High blood pressure ever diagnosed,0.9863448093746935,0.0
C4P1GS23 = Average of 2nd and 3rd systolic BPs,C4P1GS = Average BP (sitting) systolic,0.9830407281212723,0.0
C4P1GS = Average BP (sitting) systolic,C4P1GS23 = Average of 2nd and 3rd systolic BPs,0.9830407281212723,0.0
C4P1F2D = BP (sitting) 2 diastolic,C4P1GD23 = Average of 2nd and 3rd diastolic BPs,0.9796787324869806,0.0
C4P1GD23 = Average of 2nd and 3rd diastolic BPs,C4P1F2D = BP (sitting) 2 diastolic,0.9796787324869806,0.0
C4P1F2S = BP (sitting) 2 systolic,C4P1GS23 = Average of 2nd and 3rd systolic BPs,0.9778690021429625,0.0
C4P1GS23 = Average of 2nd and 3rd systolic BPs,C4P1F2S = BP (sitting) 2 systolic,0.9778690021429625,0.0
C4P1GD = Average BP (sitting) diastolic,C4P1GD23 = Average of 2nd and 3rd diastolic BPs,0.9767044747159481,0.0
C4P1GD23 = Average of 2nd and 3rd diastolic BPs,C4P1GD = Average BP (sitting) diastolic,0.9767044747159481,0.0
C4P1F3D = BP (sitting) 3 diastolic,C4P1GD23 = Average of 2nd and 3rd diastolic BPs,0.974692079046114,0.0
C4P1GD23 = Average of 2nd and 3rd diastolic BPs,C4P1F3D = BP (sitting) 3 diastolic,0.974692079046114,0.0
C4P1F3S = BP (sitting) 3 systolic,C4P1GS23 = Average of 2nd and 3rd systolic BPs,0.9737039677000702,0.0
C4P1GS23 = Average of 2nd and 3rd systolic BPs,C4P1F3S = BP (sitting) 3 systolic,0.9737039677000702,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4H73CFD = How many times per day do you do exercise/activity C?,0.9735928537150015,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4H73CI = What is the intensity of exercise/activity C?,0.9735928537150015,0.0
C1PA24B = Ever taken high blood pressure medicine,C1PA24A = Number years ago told high blood pressure,0.9703376477081904,0.0
C1PA24A = Number years ago told high blood pressure,C1PA24B = Ever taken high blood pressure medicine,0.9703376477081904,0.0
C4P1F2D = BP (sitting) 2 diastolic,C4P1GD = Average BP (sitting) diastolic,0.9662957377386098,0.0
C4P1GD = Average BP (sitting) diastolic,C4P1F2D = BP (sitting) 2 diastolic,0.9662957377386098,0.0
C4P1GS = Average BP (sitting) systolic,C4P1F2S = BP (sitting) 2 systolic,0.9659655492675511,0.0
C4P1F2S = BP (sitting) 2 systolic,C4P1GS = Average BP (sitting) systolic,0.9659655492675511,0.0
C4H73CFW = How many days per week do you do exercise/activity C?,C4H73CFD = How many times per day do you do exercise/activity C?,0.9631350541148154,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4H73CFW = How many days per week do you do exercise/activity C?,0.9631350541148154,0.0
C1PA24 = High blood pressure ever diagnosed,C1PA24A = Number years ago told high blood pressure,0.9616164659185916,0.0
C1PA24A = Number years ago told high blood pressure,C1PA24 = High blood pressure ever diagnosed,0.9616164659185916,0.0
C4P1F3S = BP (sitting) 3 systolic,C4P1GS = Average BP (sitting) systolic,0.9598529208652952,0.0
C4P1GS = Average BP (sitting) systolic,C4P1F3S = BP (sitting) 3 systolic,0.9598529208652952,0.0
C4P1GD = Average BP (sitting) diastolic,C4P1F3D = BP (sitting) 3 diastolic,0.9532189688023475,0.0
C4P1F3D = BP (sitting) 3 diastolic,C4P1GD = Average BP (sitting) diastolic,0.9532189688023475,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4H73CC = Exercise/Activity C – Coded,0.9497878031176457,0.0
C4H73CC = Exercise/Activity C – Coded,C4H73CFD = How many times per day do you do exercise/activity C?,0.9497878031176457,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4H73CFW = How many days per week do you do exercise/activity C?,0.9450430766274773,0.0
C4H73CFW = How many days per week do you do exercise/activity C?,C4H73CI = What is the intensity of exercise/activity C?,0.9450430766274773,0.0
C4P1GD = Average BP (sitting) diastolic,C4P1F1D = BP (sitting) 1 diastolic,0.9405898706130362,0.0
C4P1F1D = BP (sitting) 1 diastolic,C4P1GD = Average BP (sitting) diastolic,0.9405898706130362,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73CFD = How many times per day do you do exercise/activity C?,0.9355160117453624,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.9355160117453624,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73CFD = How many times per day do you do exercise/activity C?,0.9344360406002675,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4H73CS = Seasonal exercise/activity C?,0.9344360406002675,0.0
C4H73CFW = How many days per week do you do exercise/activity C?,C4H73CS = Seasonal exercise/activity C?,0.9281111693727867,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73CFW = How many days per week do you do exercise/activity C?,0.9281111693727867,0.0
C4P1F2D = BP (sitting) 2 diastolic,C4P1F3D = BP (sitting) 3 diastolic,0.9272326192153395,0.0
C4P1F3D = BP (sitting) 3 diastolic,C4P1F2D = BP (sitting) 2 diastolic,0.9272326192153395,0.0
C4H73CC = Exercise/Activity C – Coded,C4H73CFW = How many days per week do you do exercise/activity C?,0.9259401166106531,0.0
C4H73CFW = How many days per week do you do exercise/activity C?,C4H73CC = Exercise/Activity C – Coded,0.9259401166106531,0.0
C4P1F3S = BP (sitting) 3 systolic,C4P1F2S = BP (sitting) 2 systolic,0.9258034999327618,0.0
C4P1F2S = BP (sitting) 2 systolic,C4P1F3S = BP (sitting) 3 systolic,0.9258034999327618,0.0
C4P1GD23 = Average of 2nd and 3rd diastolic BPs,C4P1F1D = BP (sitting) 1 diastolic,0.9238119987120664,0.0
C4P1F1D = BP (sitting) 1 diastolic,C4P1GD23 = Average of 2nd and 3rd diastolic BPs,0.9238119987120664,0.0
C4H73CFW = How many days per week do you do exercise/activity C?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.9225769247496184,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73CFW = How many days per week do you do exercise/activity C?,0.9225769247496184,0.0
C4H73CC = Exercise/Activity C – Coded,C4H73CI = What is the intensity of exercise/activity C?,0.9211900611205025,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4H73CC = Exercise/Activity C – Coded,0.9211900611205025,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73CC = Exercise/Activity C – Coded,0.9203508377991159,0.0
C4H73CC = Exercise/Activity C – Coded,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.9203508377991159,0.0
C4P1F2D = BP (sitting) 2 diastolic,C4P1F1D = BP (sitting) 1 diastolic,0.9190858726128176,0.0
C4P1F1D = BP (sitting) 1 diastolic,C4P1F2D = BP (sitting) 2 diastolic,0.9190858726128176,0.0
C4H73CC = Exercise/Activity C – Coded,C4H73CS = Seasonal exercise/activity C?,0.9165781419560762,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73CC = Exercise/Activity C – Coded,0.9165781419560762,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73CI = What is the intensity of exercise/activity C?,0.9098948872692983,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.9098948872692983,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73CI = What is the intensity of exercise/activity C?,0.9055940790651206,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4H73CS = Seasonal exercise/activity C?,0.9055940790651206,0.0
C4P1F1D = BP (sitting) 1 diastolic,C4P1F3D = BP (sitting) 3 diastolic,0.8968114103921997,0.0
C4P1F3D = BP (sitting) 3 diastolic,C4P1F1D = BP (sitting) 1 diastolic,0.8968114103921997,0.0
C4H73BFD = How many times per day do you do exercise/activity B?,C4H73BFW = How many days per week do you do exercise/activity B?,0.8819135465998954,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73BFD = How many times per day do you do exercise/activity B?,0.8819135465998954,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.8752266579659568,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73BI = What is the intensity of exercise/activity B?,0.8752266579659568,0.0
C4BCHOL = Blood Total Cholesterol (mg/dL),C4BLDL = Blood LDL Cholesterol (mg/dL),0.8681994493037254,0.0
C4BLDL = Blood LDL Cholesterol (mg/dL),C4BCHOL = Blood Total Cholesterol (mg/dL),0.8681994493037254,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73BS = Seasonal exercise/activity B?,0.8641095208899661,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73BI = What is the intensity of exercise/activity B?,0.8641095208899661,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73BS = Seasonal exercise/activity B?,0.862638138331955,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.862638138331955,0.0
C4BTRIGL = Blood Triglycerides (mg/dL),C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.8426846136751889,0.0
C4BRTHDL = Blood Ratio Total / HDL Cholesterol,C4BTRIGL = Blood Triglycerides (mg/dL),0.8426846136751889,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73BFD = How many times per day do you do exercise/activity B?,0.8410553045774574,0.0
C4H73BFD = How many times per day do you do exercise/activity B?,C4H73BI = What is the intensity of exercise/activity B?,0.8410553045774574,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73BC = Exercise/Activity B – Coded,0.8410206345246264,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73BS = Seasonal exercise/activity B?,0.8410206345246264,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73BC = Exercise/Activity B – Coded,0.8268548440473433,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73BI = What is the intensity of exercise/activity B?,0.8268548440473433,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73BFD = How many times per day do you do exercise/activity B?,0.8258371628467008,0.0
C4H73BFD = How many times per day do you do exercise/activity B?,C4H73BC = Exercise/Activity B – Coded,0.8258371628467008,0.0
C4H73BFD = How many times per day do you do exercise/activity B?,C4H73BS = Seasonal exercise/activity B?,0.818174166432967,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73BFD = How many times per day do you do exercise/activity B?,0.818174166432967,0.0
C4H73BFD = How many times per day do you do exercise/activity B?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.8048477920130133,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73BFD = How many times per day do you do exercise/activity B?,0.8048477920130133,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73AFD = How many times per day do you do exercise/activity A?,0.8041203096755093,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AS = Seasonal exercise/activity A?,0.8041203096755093,0.0
C4BRTHDL = Blood Ratio Total / HDL Cholesterol,C4BHDL = Blood HDL Cholesterol (mg/dL),-0.800287472993694,0.0
C4BHDL = Blood HDL Cholesterol (mg/dL),C4BRTHDL = Blood Ratio Total / HDL Cholesterol,-0.800287472993694,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73CFD = How many times per day do you do exercise/activity C?,0.798060530360152,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4H73BFW = How many days per week do you do exercise/activity B?,0.798060530360152,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73CI = What is the intensity of exercise/activity C?,0.7825389467802409,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4H73BFW = How many days per week do you do exercise/activity B?,0.7825389467802409,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.7804096352243934,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73BC = Exercise/Activity B – Coded,0.7804096352243934,0.0
C4H73CFW = How many days per week do you do exercise/activity C?,C4H73BFW = How many days per week do you do exercise/activity B?,0.7590383909286259,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73CFW = How many days per week do you do exercise/activity C?,0.7590383909286259,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73CC = Exercise/Activity C – Coded,0.7550927884675408,0.0
C4H73CC = Exercise/Activity C – Coded,C4H73BFW = How many days per week do you do exercise/activity B?,0.7550927884675408,0.0
C4H73AI = What is the intensity of exercise/activity A?,C4H73AFD = How many times per day do you do exercise/activity A?,0.7493066508897679,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AI = What is the intensity of exercise/activity A?,0.7493066508897679,0.0
