Variable 1,Variable 2,Spearman Correlation,P-value,N
C4H73AC = Exercise/Activity A – Coded,C4H73CI = What is the intensity of exercise/activity C?,0.04748986549378457,7.127799136498442e-05,6990
C4H73AC = Exercise/Activity A – Coded,C4H73DC = Exercise/Activity D – Coded,0.29869046884626593,5.026700012416901e-144,6990
C4H73AC = Exercise/Activity A – Coded,C4H73DS = Seasonal exercise/activity D?,0.2991683214704553,1.677030547299276e-144,6990
C4H73AC = Exercise/Activity A – Coded,C4H73DFD = How many times per day do you do exercise/activity D?,0.29794584479597214,2.7692689726690735e-143,6990
C4H73AC = Exercise/Activity A – Coded,C4H73DFW = How many days per week do you do exercise/activity D?,0.29862389535041856,5.856384549631153e-144,6990
C4H73AC = Exercise/Activity A – Coded,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.29880106369903353,3.899653500649889e-144,6990
C4H73AC = Exercise/Activity A – Coded,C4H73DI = What is the intensity of exercise/activity D?,0.2975974915176289,6.141926436158449e-143,6990
C4H73AC = Exercise/Activity A – Coded,C4H73EC = Exercise/Activity E – Coded,0.177657608184086,1.1557694372081898e-50,6990
C4H73AC = Exercise/Activity A – Coded,C4H73ES = Seasonal exercise/activity E?,0.17826650828862675,5.2696632012879857e-51,6990
C4H73AC = Exercise/Activity A – Coded,C4H73EFD = How many times per day do you do exercise/activity E?,0.17798379013609936,7.591136395782138e-51,6990
C4H73AC = Exercise/Activity A – Coded,C4H73EFW = How many days per week do you do exercise/activity E?,0.17766460534753228,1.1454037446662503e-50,6990
C4H73AC = Exercise/Activity A – Coded,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.17820316942133366,5.719011101367564e-51,6990
C4H73AC = Exercise/Activity A – Coded,C4H73EI = What is the intensity of exercise/activity E?,0.1777265418989755,1.0575926142786815e-50,6990
C4H73AC = Exercise/Activity A – Coded,C4H73FC = Exercise/Activity F – Coded,0.10874558062454,7.706962211478892e-20,6990
C4H73AC = Exercise/Activity A – Coded,C4H73FS = Seasonal exercise/activity F?,0.10889768958150978,6.846252682866657e-20,6990
C4H73AC = Exercise/Activity A – Coded,C4H73FFD = How many times per day do you do exercise/activity F?,0.10878603191938739,7.468150623946795e-20,6990
C4H73AC = Exercise/Activity A – Coded,C4H73FFW = How many days per week do you do exercise/activity F?,0.10865617878212909,8.2618583652678e-20,6990
C4H73AC = Exercise/Activity A – Coded,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.1088150265436532,7.301489374925603e-20,6990
C4H73AC = Exercise/Activity A – Coded,C4H73FI = What is the intensity of exercise/activity F?,0.10858313290151199,8.744394804618406e-20,6990
C4H73AC = Exercise/Activity A – Coded,C4H73GC = Exercise/Activity G – Coded,0.07412828269534624,5.469166438012207e-10,6990
C4H73AC = Exercise/Activity A – Coded,C4H73GS = Seasonal exercise/activity G?,0.07412828269534624,5.469166438012207e-10,6990
C4H73AC = Exercise/Activity A – Coded,C4H73GFD = How many times per day do you do exercise/activity G?,0.07414318558637244,5.425831983332354e-10,6990
C4H73AC = Exercise/Activity A – Coded,C4H73GFW = How many days per week do you do exercise/activity G?,0.07415674652057755,5.386690876721876e-10,6990
C4H73AC = Exercise/Activity A – Coded,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.07413324582663065,5.454697334400228e-10,6990
C4H73AC = Exercise/Activity A – Coded,C4H73GI = What is the intensity of exercise/activity G?,0.0741544182112411,5.393391462695094e-10,6990
C4H73AC = Exercise/Activity A – Coded,C4H60 = Have you now or in the past used tobacco regularly?,0.060809691618397096,3.6211155190947586e-07,6990
C4H73AC = Exercise/Activity A – Coded,"C4H61 = Have you ever smoked cigarettes regularly-that is, at least a few cigarettes every day?",0.06046938017245568,4.20705565365547e-07,6990
C4H73AC = Exercise/Activity A – Coded,C4H61A = Do you currently smoke cigarettes regularly?,0.03957079417722205,0.0009360682270376751,6990
C4H73AC = Exercise/Activity A – Coded,"C4H62 = Since we last interviewed you, have you tried to quit smoking?",-0.10559809644677645,8.609084652297243e-19,6990
C4H73AC = Exercise/Activity A – Coded,C4H63 = For how many years did you smoke regularly?,0.0760185327678101,1.9695728465941744e-10,6990
C4H73AC = Exercise/Activity A – Coded,"C4H64 = During this period, how many cigarettes did you smoke per day, on average?",0.0768771781006456,1.2283570728656354e-10,6990
C4H73AC = Exercise/Activity A – Coded,C4H65 = How old were you the last time you smoked regularly?,0.07857493036192406,4.7569674851297945e-11,6990
C4H73AC = Exercise/Activity A – Coded,"C4H66A = Do you currently smoke a pipe or cigars, or use snuff or chewing tobacco regularly?",0.04699599581449369,8.472476464064289e-05,6990
C4H73AC = Exercise/Activity A – Coded,"C4H67 = For how many years did you regularly smoke a pipe or cigars, or use snuff or chewing tobacco?",0.06294492382724239,1.3877016295818818e-07,6990
C4H73AC = Exercise/Activity A – Coded,"C4H68 = In the past, did anyone in your household smoke tobacco inside your home regularly?",-0.22043514587688123,1.1204876841929712e-77,6990
C4H73AC = Exercise/Activity A – Coded,"C4H69 = Currently, does anyone regularly smoke cigarettes or other tobacco products inside your home?",-0.09241653271112146,9.802913777889189e-15,6990
C4H73AC = Exercise/Activity A – Coded,C4SSQ_S1 = SLEEP Component 1 - Subjective Sleep Quality,0.13006297541031506,9.399977984317663e-28,6990
C4H73AC = Exercise/Activity A – Coded,C4SSQ_S2 = SLEEP Component 2 - Sleep Latency,0.17011689659773208,1.5313297888145792e-46,6990
C4H73AC = Exercise/Activity A – Coded,C4SSQ_S3 = SLEEP Component 3 - Sleep Duration,0.25721455469694104,5.031439399426302e-106,6990
C4H73AC = Exercise/Activity A – Coded,C4SSQ_S4 = SLEEP Component 4 - Habitual Sleep Efficiency,0.10813702068605895,1.2357385407917733e-19,6990
C4H73AC = Exercise/Activity A – Coded,C4AD59 = Sun AM Minutes To Fall Asleep,0.004544385708881924,0.7040397475939009,6990
C4H73AC = Exercise/Activity A – Coded,C4AD510 = Sun AM How Difficult To Fall Asleep,0.2096293750866768,2.9171627098511786e-70,6990
C4H73AC = Exercise/Activity A – Coded,C4AD511 = Sun AM How Many Times Did You Wake,-0.13235398961257097,1.0899472012659067e-28,6990
C4H73AC = Exercise/Activity A – Coded,C4AD512 = Sun AM Wake Because of Noise or Activity,-0.19117012652952856,1.5927098419199905e-58,6990
C4H73AC = Exercise/Activity A – Coded,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.11351679676396569,1.735167704799561e-21,6990
C4H73AC = Exercise/Activity A – Coded,"C4AD514 = Sun AM If Woke, Number of Times Left Bed",-0.010581061614430473,0.3764214462812925,6990
C4H73AC = Exercise/Activity A – Coded,C4AD515 = Sun AM Time Wake Up and Not Return To Sleep,0.16910939422796922,5.267414600601591e-46,6990
C4H73AC = Exercise/Activity A – Coded,C4AD516 = Sun AM Time Get Out of Bed,0.1697471009744515,2.412047461559167e-46,6990
C4H73AC = Exercise/Activity A – Coded,C4AD517 = Sun AM How Deeply Did You Sleep,0.15432353957503583,1.6326550141246538e-38,6990
C4H73AC = Exercise/Activity A – Coded,C4AD518 = Sun AM How Well Rested Do You Feel,0.025093332889452837,0.03591275895194188,6990
C4H73AC = Exercise/Activity A – Coded,C4AD519 = Sun AM How Alert Do You Feel,0.060614860249871214,3.9461661669731244e-07,6990
C4H73AC = Exercise/Activity A – Coded,C4AD520 = Sun AM Overall Quality of Sleep,0.15443612605081017,1.4406038117728967e-38,6990
C4H73AC = Exercise/Activity A – Coded,C4WA1SLT = Active 1 Sleep Time,0.2769894892008114,2.5486848139556104e-123,6990
C4H73AC = Exercise/Activity A – Coded,C4WA1PSL = Active 1 % Sleep Time,0.2489304520880646,3.264787898629441e-99,6990
C4H73AC = Exercise/Activity A – Coded,C4WA1SLB = Active 1 # Sleep Bouts,0.2853748100095449,4.201016548736212e-131,6990
C4H73AC = Exercise/Activity A – Coded,C4WA1ASB = Active 1 Avg Sleep Bouts,0.023942714421689007,0.045318215123478056,6990
C4H73AC = Exercise/Activity A – Coded,C4WS2SLT = Sleep 2 Sleep Time,-0.09575196415235458,1.0364303703479893e-15,6990
C4H73AC = Exercise/Activity A – Coded,C4WS2PSL = Sleep 2 % Sleep Time,0.18392010838038342,3.1317703738800516e-54,6990
C4H73AC = Exercise/Activity A – Coded,C4WS2SLB = Sleep 2 # Sleep Bouts,-0.16867421015587575,8.960114019477975e-46,6990
C4H73AC = Exercise/Activity A – Coded,C4WS2ASB = Sleep 2 Avg Sleep Bouts,0.19053518432691813,3.8480157517408216e-58,6990
C4H73AC = Exercise/Activity A – Coded,C4BCHOL = Blood Total Cholesterol (mg/dL),-0.18335644862979486,6.640656435240364e-54,6990
C4H73AC = Exercise/Activity A – Coded,C4BHDL = Blood HDL Cholesterol (mg/dL),0.028084124395692335,0.018871954465191503,6990
C4H73AC = Exercise/Activity A – Coded,C4BLDL = Blood LDL Cholesterol (mg/dL),-0.22771918816705836,6.606660408110108e-83,6990
C4H73AC = Exercise/Activity A – Coded,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,-0.1600692700264668,2.435684795193265e-41,6990
C4H73AC = Exercise/Activity A – Coded,C4H1I = Have you ever had diabetes?,-0.32612394000892736,6.813361566213619e-173,6990
C4H73AC = Exercise/Activity A – Coded,C4BHA1C = Blood Hemoglobin A1c %,0.3045840571691517,5.722943412169909e-150,6990
C4H73AC = Exercise/Activity A – Coded,C4H1B = Have you ever had high blood pressure?,-0.25852944874671197,3.954970759937496e-107,6990
C4H73AC = Exercise/Activity A – Coded,C4P1GS = Average BP (sitting) systolic,-0.20814838715946982,2.8165897444776095e-69,6990
C4H73AC = Exercise/Activity A – Coded,C4P1GD = Average BP (sitting) diastolic,-0.14423364814524775,8.266259946643765e-34,6990
C4H73AC = Exercise/Activity A – Coded,C1PA26 = Ever had cancer,-0.26554788809927843,3.9135743098573655e-113,6990
C4H73AC = Exercise/Activity A – Coded,C1PA28AA = Age breast cancer diagnosed,0.07294257750812294,1.024815958601214e-09,6990
C4H73AC = Exercise/Activity A – Coded,C4H1P = Have you ever had cancer?,-0.19805212153277457,9.166899105750394e-63,6990
C4H73AC = Exercise/Activity A – Coded,Family history of breast cancer,-0.1838631374796252,3.3793304267964976e-54,6990
C4H73AS = Seasonal exercise/activity A?,C4H73AFD = How many times per day do you do exercise/activity A?,0.8254373290335137,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73AFW = How many days per week do you do exercise/activity A?,0.614847442322766,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,0.6700239857276994,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73AI = What is the intensity of exercise/activity A?,0.7309262514682104,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73BC = Exercise/Activity B – Coded,0.564458668767679,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73BS = Seasonal exercise/activity B?,0.572720018644716,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73BFD = How many times per day do you do exercise/activity B?,0.628269806447562,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73BFW = How many days per week do you do exercise/activity B?,0.5945290834741935,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5513508195890059,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73BI = What is the intensity of exercise/activity B?,0.5546740606601905,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73CC = Exercise/Activity C – Coded,0.4393983702072627,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73CS = Seasonal exercise/activity C?,0.4197101036005044,2.0788718938928417e-296,6990
C4H73AS = Seasonal exercise/activity A?,C4H73CFD = How many times per day do you do exercise/activity C?,0.45264775889266,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73CFW = How many days per week do you do exercise/activity C?,0.43958314029790246,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.41970134830013317,2.1447332125504635e-296,6990
C4H73AS = Seasonal exercise/activity A?,C4H73CI = What is the intensity of exercise/activity C?,0.44449681649067224,0.0,6990
C4H73AS = Seasonal exercise/activity A?,C4H73DC = Exercise/Activity D – Coded,0.08845247177391002,1.278533484650482e-13,6990
C4H73AS = Seasonal exercise/activity A?,C4H73DS = Seasonal exercise/activity D?,0.08759268167562603,2.199297919887053e-13,6990
C4H73AS = Seasonal exercise/activity A?,C4H73DFD = How many times per day do you do exercise/activity D?,0.08633103851600087,4.829160459482873e-13,6990
C4H73AS = Seasonal exercise/activity A?,C4H73DFW = How many days per week do you do exercise/activity D?,0.08836862675391521,1.3482922085419263e-13,6990
C4H73AS = Seasonal exercise/activity A?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.0862616395032809,5.041042072672084e-13,6990
C4H73AS = Seasonal exercise/activity A?,C4H73DI = What is the intensity of exercise/activity D?,0.08588804761640896,6.348312991192828e-13,6990
C4H73AS = Seasonal exercise/activity A?,C4H73EC = Exercise/Activity E – Coded,0.04021046696485869,0.0007721109351833955,6990
C4H73AS = Seasonal exercise/activity A?,C4H73ES = Seasonal exercise/activity E?,0.039938026281067865,0.00083837940285033,6990
C4H73AS = Seasonal exercise/activity A?,C4H73EFD = How many times per day do you do exercise/activity E?,0.03930976807267149,0.0010118037675866597,6990
C4H73AS = Seasonal exercise/activity A?,C4H73EFW = How many days per week do you do exercise/activity E?,0.03915314881056315,0.0010599282944965115,6990
C4H73AS = Seasonal exercise/activity A?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.03973590741439759,0.0008909094783666119,6990
C4H73AS = Seasonal exercise/activity A?,C4H73EI = What is the intensity of exercise/activity E?,0.038668287356344914,0.0012226603117542554,6990
C4H73AS = Seasonal exercise/activity A?,C4H73FC = Exercise/Activity F – Coded,0.03980702613226891,0.000872087642866526,6990
C4H73AS = Seasonal exercise/activity A?,C4H73FS = Seasonal exercise/activity F?,0.03984076058907543,0.000863289186731038,6990
C4H73AS = Seasonal exercise/activity A?,C4H73FFD = How many times per day do you do exercise/activity F?,0.04013438152902823,0.0007901111254434058,6990
C4H73AS = Seasonal exercise/activity A?,C4H73FFW = How many days per week do you do exercise/activity F?,0.04016174298879675,0.0007835936192744565,6990
C4H73AS = Seasonal exercise/activity A?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.039574560379614876,0.0009350149559495704,6990
C4H73AS = Seasonal exercise/activity A?,C4H73FI = What is the intensity of exercise/activity F?,0.03998229073341714,0.0008272654069691052,6990
C4H73AS = Seasonal exercise/activity A?,C4H73GC = Exercise/Activity G – Coded,-0.0051099438284926925,0.669270462479347,6990
C4H73AS = Seasonal exercise/activity A?,C4H73GS = Seasonal exercise/activity G?,-0.0051099438284926925,0.669270462479347,6990
C4H73AS = Seasonal exercise/activity A?,C4H73GFD = How many times per day do you do exercise/activity G?,-0.005070842026902594,0.6716527197416123,6990
C4H73AS = Seasonal exercise/activity A?,C4H73GFW = How many days per week do you do exercise/activity G?,-0.005073734037585606,0.6714764121280545,6990
C4H73AS = Seasonal exercise/activity A?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,-0.005121534369791128,0.6685649522419521,6990
C4H73AS = Seasonal exercise/activity A?,C4H73GI = What is the intensity of exercise/activity G?,-0.005030750104460102,0.6740987281296802,6990
C4H73AS = Seasonal exercise/activity A?,C4H60 = Have you now or in the past used tobacco regularly?,-0.18793462095415786,1.3808037941391253e-56,6990
C4H73AS = Seasonal exercise/activity A?,"C4H61 = Have you ever smoked cigarettes regularly-that is, at least a few cigarettes every day?",-0.1886007142282356,5.546773721854961e-57,6990
C4H73AS = Seasonal exercise/activity A?,C4H61A = Do you currently smoke cigarettes regularly?,-0.20126244419191983,8.497479988399471e-65,6990
C4H73AS = Seasonal exercise/activity A?,"C4H62 = Since we last interviewed you, have you tried to quit smoking?",-0.18042317926706336,3.189703947600567e-52,6990
C4H73AS = Seasonal exercise/activity A?,C4H63 = For how many years did you smoke regularly?,-0.17760744829629677,1.2328617234399267e-50,6990
C4H73AS = Seasonal exercise/activity A?,"C4H64 = During this period, how many cigarettes did you smoke per day, on average?",-0.17465169574661168,5.353660504750547e-49,6990
C4H73AS = Seasonal exercise/activity A?,C4H65 = How old were you the last time you smoked regularly?,-0.17547475328706516,1.8859043403961946e-49,6990
C4H73AS = Seasonal exercise/activity A?,"C4H66A = Do you currently smoke a pipe or cigars, or use snuff or chewing tobacco regularly?",-0.037021084110325356,0.0019634857791295335,6990
C4H73AS = Seasonal exercise/activity A?,"C4H67 = For how many years did you regularly smoke a pipe or cigars, or use snuff or chewing tobacco?",-0.18855813529744014,5.880369798633578e-57,6990
C4H73AS = Seasonal exercise/activity A?,"C4H68 = In the past, did anyone in your household smoke tobacco inside your home regularly?",0.14205762847605027,7.743137755088862e-33,6990
C4H73AS = Seasonal exercise/activity A?,"C4H69 = Currently, does anyone regularly smoke cigarettes or other tobacco products inside your home?",-0.1777146681557159,1.073891005537588e-50,6990
C4H73AS = Seasonal exercise/activity A?,C4SSQ_S1 = SLEEP Component 1 - Subjective Sleep Quality,0.16934933259873244,3.927585850121588e-46,6990
C4H73AS = Seasonal exercise/activity A?,C4SSQ_S2 = SLEEP Component 2 - Sleep Latency,0.17439071301884657,7.445006011293984e-49,6990
C4H73AS = Seasonal exercise/activity A?,C4SSQ_S3 = SLEEP Component 3 - Sleep Duration,-0.17941535632025685,1.1881502246592423e-51,6990
C4H73AS = Seasonal exercise/activity A?,C4SSQ_S4 = SLEEP Component 4 - Habitual Sleep Efficiency,-0.04852487760479882,4.935788281068261e-05,6990
C4H73AS = Seasonal exercise/activity A?,C4AD59 = Sun AM Minutes To Fall Asleep,0.21592068324097796,1.5738169002986136e-74,6990
C4H73AS = Seasonal exercise/activity A?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.023660161689962166,0.04792196240328377,6990
C4H73AS = Seasonal exercise/activity A?,C4AD511 = Sun AM How Many Times Did You Wake,0.12875424716299233,3.1636287140787835e-27,6990
C4H73AS = Seasonal exercise/activity A?,C4AD512 = Sun AM Wake Because of Noise or Activity,0.20610183773567303,6.282023138440121e-68,6990
C4H73AS = Seasonal exercise/activity A?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.011739974017368896,0.3263989141598195,6990
C4H73AS = Seasonal exercise/activity A?,"C4AD514 = Sun AM If Woke, Number of Times Left Bed",0.0501873454116159,2.6943821435352257e-05,6990
C4H73AS = Seasonal exercise/activity A?,C4AD515 = Sun AM Time Wake Up and Not Return To Sleep,-0.02527414379241696,0.034597752944308335,6990
C4H73AS = Seasonal exercise/activity A?,C4AD516 = Sun AM Time Get Out of Bed,0.0001995117870667296,0.9866939422609382,6990
C4H73AS = Seasonal exercise/activity A?,C4AD517 = Sun AM How Deeply Did You Sleep,-0.012063978999083222,0.31322408812546865,6990
C4H73AS = Seasonal exercise/activity A?,C4AD518 = Sun AM How Well Rested Do You Feel,0.16388155158952777,2.8314033635086796e-43,6990
C4H73AS = Seasonal exercise/activity A?,C4AD519 = Sun AM How Alert Do You Feel,0.14194704259953658,8.667402303563501e-33,6990
C4H73AS = Seasonal exercise/activity A?,C4AD520 = Sun AM Overall Quality of Sleep,0.03563454233670282,0.0028854696793479944,6990
C4H73AS = Seasonal exercise/activity A?,C4WA1SLT = Active 1 Sleep Time,0.12446697212751268,1.5447118257334752e-25,6990
C4H73AS = Seasonal exercise/activity A?,C4WA1PSL = Active 1 % Sleep Time,0.14930972611058263,3.9052450446045477e-36,6990
C4H73AS = Seasonal exercise/activity A?,C4WA1SLB = Active 1 # Sleep Bouts,-0.017735870199143536,0.13815932262467304,6990
C4H73AS = Seasonal exercise/activity A?,C4WA1ASB = Active 1 Avg Sleep Bouts,0.23856184196715152,4.8637871306434805e-91,6990
C4H73AS = Seasonal exercise/activity A?,C4WS2SLT = Sleep 2 Sleep Time,0.18986266597504386,9.761698179055482e-58,6990
C4H73AS = Seasonal exercise/activity A?,C4WS2PSL = Sleep 2 % Sleep Time,-0.10736527820359512,2.240245822620555e-19,6990
C4H73AS = Seasonal exercise/activity A?,C4WS2SLB = Sleep 2 # Sleep Bouts,0.2705012195898641,1.7522457555305576e-117,6990
C4H73AS = Seasonal exercise/activity A?,C4WS2ASB = Sleep 2 Avg Sleep Bouts,-0.08013219974668534,1.9577120865014694e-11,6990
C4H73AS = Seasonal exercise/activity A?,C4BCHOL = Blood Total Cholesterol (mg/dL),0.019538990926990664,0.10237545204089372,6990
C4H73AS = Seasonal exercise/activity A?,C4BHDL = Blood HDL Cholesterol (mg/dL),-0.34516879264051,8.777132326342927e-195,6990
C4H73AS = Seasonal exercise/activity A?,C4BLDL = Blood LDL Cholesterol (mg/dL),0.08457108318214356,1.4199231031240754e-12,6990
C4H73AS = Seasonal exercise/activity A?,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.3088011952848526,2.6238355508212697e-154,6990
C4H73AS = Seasonal exercise/activity A?,C4H1I = Have you ever had diabetes?,0.1519656147103214,2.1964324931840103e-37,6990
C4H73AS = Seasonal exercise/activity A?,C4BHA1C = Blood Hemoglobin A1c %,-0.16491362586345587,8.31908386883994e-44,6990
C4H73AS = Seasonal exercise/activity A?,C4H1B = Have you ever had high blood pressure?,-0.004418967171248546,0.711837892302972,6990
C4H73AS = Seasonal exercise/activity A?,C4P1GS = Average BP (sitting) systolic,0.1964703238883213,8.932570212729853e-62,6990
C4H73AS = Seasonal exercise/activity A?,C4P1GD = Average BP (sitting) diastolic,0.21837929536574868,3.1017838507910986e-76,6990
C4H73AS = Seasonal exercise/activity A?,C1PA26 = Ever had cancer,0.12902127106018185,2.4722278860509272e-27,6990
C4H73AS = Seasonal exercise/activity A?,C1PA28AA = Age breast cancer diagnosed,0.01358984390995989,0.2559378426328228,6990
C4H73AS = Seasonal exercise/activity A?,C4H1P = Have you ever had cancer?,0.2434851634954228,7.157286472940955e-95,6990
C4H73AS = Seasonal exercise/activity A?,Family history of breast cancer,0.08405876430377932,1.9357050231465257e-12,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AFW = How many days per week do you do exercise/activity A?,0.7358692580153225,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,0.6312059954831921,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AI = What is the intensity of exercise/activity A?,0.7861127583475642,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BC = Exercise/Activity B – Coded,0.5578114998498709,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BS = Seasonal exercise/activity B?,0.5769879729080714,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BFD = How many times per day do you do exercise/activity B?,0.634695218990561,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BFW = How many days per week do you do exercise/activity B?,0.6084117810930826,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5613827336516497,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BI = What is the intensity of exercise/activity B?,0.5682188999452484,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73CC = Exercise/Activity C – Coded,0.48480092659357193,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73CS = Seasonal exercise/activity C?,0.4606126040194322,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73CFD = How many times per day do you do exercise/activity C?,0.4953876457085383,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73CFW = How many days per week do you do exercise/activity C?,0.4748199271178941,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.4639603607003124,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73CI = What is the intensity of exercise/activity C?,0.4867789466696209,0.0,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73DC = Exercise/Activity D – Coded,0.13046996042181175,6.428614747283825e-28,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73DS = Seasonal exercise/activity D?,0.13105606876450954,3.711598124459743e-28,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73DFD = How many times per day do you do exercise/activity D?,0.13108289455018474,3.6192310305178674e-28,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73DFW = How many days per week do you do exercise/activity D?,0.13003501403588202,9.648156135092959e-28,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.13117016407424154,3.3342292975715183e-28,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73DI = What is the intensity of exercise/activity D?,0.13074901828112792,4.950758786097214e-28,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73EC = Exercise/Activity E – Coded,0.0950112106559951,1.718731541530637e-15,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73ES = Seasonal exercise/activity E?,0.09519496421889863,1.5166100270205404e-15,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73EFD = How many times per day do you do exercise/activity E?,0.09511436178743742,1.6022122631305376e-15,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73EFW = How many days per week do you do exercise/activity E?,0.09507237053407398,1.648675550671503e-15,6990
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.09508815059882593,1.631061343067799e-15,6990
