,C4H73AC = Exercise/Activity A – Coded,C4H73AS = Seasonal exercise/activity A?,C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AFW = How many days per week do you do exercise/activity A?,C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73AI = What is the intensity of exercise/activity A?,C4H73BC = Exercise/Activity B – Coded,C4H73BS = Seasonal exercise/activity B?,C4H73BFD = How many times per day do you do exercise/activity B?,C4H73BFW = How many days per week do you do exercise/activity B?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73BI = What is the intensity of exercise/activity B?,C4H73CC = Exercise/Activity C – Coded,C4H73CS = Seasonal exercise/activity C?,C4H73CFD = How many times per day do you do exercise/activity C?,C4H73CFW = How many days per week do you do exercise/activity C?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73CI = What is the intensity of exercise/activity C?,C4H73DC = Exercise/Activity D – Coded,C4H73DS = Seasonal exercise/activity D?,C4H73DFD = How many times per day do you do exercise/activity D?,C4H73DFW = How many days per week do you do exercise/activity D?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73DI = What is the intensity of exercise/activity D?,C4H73EC = Exercise/Activity E – Coded,C4H73ES = Seasonal exercise/activity E?,C4H73EFD = How many times per day do you do exercise/activity E?,C4H73EFW = How many days per week do you do exercise/activity E?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73EI = What is the intensity of exercise/activity E?,C4H73FC = Exercise/Activity F – Coded,C4H73FS = Seasonal exercise/activity F?,C4H73FFD = How many times per day do you do exercise/activity F?,C4H73FFW = How many days per week do you do exercise/activity F?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4H73FI = What is the intensity of exercise/activity F?,C4H73GC = Exercise/Activity G – Coded,C4H73GS = Seasonal exercise/activity G?,C4H73GFD = How many times per day do you do exercise/activity G?,C4H73GFW = How many days per week do you do exercise/activity G?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73GI = What is the intensity of exercise/activity G?,C1PA26 = Ever had cancer,C1PA28AA = Age breast cancer diagnosed,C4H1P = Have you ever had cancer?,Family history of breast cancer,C1PA24 = High blood pressure ever diagnosed,C1PA24A = Number years ago told high blood pressure,C1PA24B = Ever taken high blood pressure medicine,C1PA24EC = High blood pressure therapy - Exercise,C4H1A = Have you ever had heart disease?,C4H1B = Have you ever had high blood pressure?,C4H1C = Have you ever had circulation problems?,C4H1D = Have you ever had blood clots?,C4H1E = Have you ever had a heart murmur?,C4H1F = Have you ever had a TIA (mini-stroke) or stroke?,C4H1H = Have you ever had cholesterol problems?,C4P1F1D = BP (sitting) 1 diastolic,C4P1F2S = BP (sitting) 2 systolic,C4P1F2D = BP (sitting) 2 diastolic,C4P1F3S = BP (sitting) 3 systolic,C4P1F3D = BP (sitting) 3 diastolic,C4P1GS = Average BP (sitting) systolic,C4P1GD = Average BP (sitting) diastolic,C4P1GS23 = Average of 2nd and 3rd systolic BPs,C4P1GD23 = Average of 2nd and 3rd diastolic BPs,C4BCHOL = Blood Total Cholesterol (mg/dL),C4BTRIGL = Blood Triglycerides (mg/dL),C4BHDL = Blood HDL Cholesterol (mg/dL),C4BLDL = Blood LDL Cholesterol (mg/dL),C4BRTHDL = Blood Ratio Total / HDL Cholesterol,Family history of stroke,Family history of circulation problems,Family history of high blood pressure,Family history of heart disease
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.6429821353012212,0.6667056617429458,0.6632204131714302,0.6658208297553893,0.6607164878232857,0.6750458138259956,0.9915119725992416,0.9941090253788694,0.9933983240338738,0.9917649812267993,1.0,0.9831203575575514,0.6719809205572762,0.6736032003552966,0.6725028690430415,0.672566317763882,0.6723319458554335,0.6708814199984444,0.2291155432728553,0.22940777531788395,0.22938307010217354,0.22915995218973445,0.2279699144267241,0.22776236895090832,0.13134858000337712,0.13059158805140278,0.1306982186304346,0.1304575804585512,0.13110981943407718,0.13077884283417537,0.09087582474865934,0.09114407042451114,0.09106200801278583,0.09096189608226922,0.09019761677802364,0.09088766064280254,0.05407007650103825,0.054120639671878135,0.05404979340543137,0.054044406635276564,0.05419356790752829,0.05355345936581605,0.20367557878117323,-0.05453995897876864,0.2658286446060487,0.1427752166299018,-0.22822702873867123,-0.22767329006182815,-0.23187943602975575,-0.02998817903488262,-0.18672576290798837,0.08930222238972808,-0.14660708214112325,-0.11442879128209416,-0.022536078512396602,-0.18008255447814703,0.09272577043962543,0.19779813081071884,0.18779453879476848,0.17802232640238388,0.2121159577455354,0.1937375343526015,0.21525782668134535,0.1926642319999195,0.2060544224709787,0.18547015437491368,0.019535249389552235,0.05170119840058847,-0.04991319483264368,0.062138208461649115,0.0768252466133691,-0.25543606052981777,-0.2758316308035636,-0.10436908323508479,-0.1681595455257627
C4H73BI = What is the intensity of exercise/activity B?,0.6458136706737158,0.6590366952448202,0.6556750718999093,0.6591549085617667,0.6505839042705643,0.6727016952986158,0.9844667740868349,0.9853662605107455,0.9830086835162435,0.9805995597550194,0.9831203575575514,1.0,0.6467050050097451,0.6530613440648569,0.6485935105005545,0.6485584228731744,0.6527464082524262,0.646420186213526,0.2582710856386013,0.2586941602405586,0.2585098857196495,0.2583560992429447,0.25583984194949466,0.25791793121847695,0.1479797156922972,0.14740751197584626,0.14773837738588685,0.1474736000013302,0.14520927723119623,0.14730210830409554,0.09814469728695856,0.09828700933391506,0.09826128591045266,0.09802958098684333,0.09726730217857614,0.09739523952164246,0.07141880758532551,0.07151031409133903,0.07155643125910775,0.07140883209879995,0.07178252354236324,0.07127842179011626,0.16585252334056838,-0.049296552688921594,0.23169739542831558,0.12107872758463743,-0.19555424837972862,-0.19355252926543326,-0.19708282829754964,-0.011668841607642878,-0.1730894431791797,0.07082775649792375,-0.14192709389483113,-0.10482924619641956,-0.005615321342535145,-0.16861965909350185,0.07394624915019704,0.15499003605052372,0.15064381657585452,0.1330616006307599,0.17559599828657055,0.15281597573813094,0.17742775136660222,0.14711209425179111,0.1684289945644503,0.14195339883927519,0.012139096363757368,0.048653855081310884,-0.04374028801016328,0.05186723422120817,0.07136105725458004,-0.24026273012570334,-0.2412995243274501,-0.0847666126838098,-0.14102952328205606
C4H73CC = Exercise/Activity C – Coded,0.4050599225862775,0.46567061747271343,0.46700662581064556,0.46139944359349755,0.4714652053493729,0.4799202090110893,0.6724016479897453,0.6783546631947909,0.6930682578484325,0.7030952564027764,0.6719809205572762,0.6467050050097451,1.0,0.9963794648878679,0.9986360019334601,0.9986108610172605,0.9918283946479008,0.995475760239302,0.29571477988008393,0.29653499041265724,0.29663289964381107,0.2964161842607699,0.2959998114089105,0.2945229702162593,0.17501119886487182,0.1754385499660102,0.1753697033182711,0.1752715503801059,0.17442972943504736,0.17372786430960188,0.11150393764611238,0.11165063262557072,0.11173345222646082,0.11170174285910607,0.11058648165765066,0.11148983837336349,0.0703087294005857,0.07029978227230939,0.0703213877249994,0.07038625112364329,0.07024167018886397,0.07012283058994875,0.4287019239392829,-0.06908291823704042,0.45814682659149086,0.28221244555412367,-0.33853820259319756,-0.3330707277614976,-0.34187665321447874,-0.11586133118823876,-0.2383136027273703,0.2526064971231181,-0.18722875703142994,-0.1620736865441803,-0.11514398698438534,-0.1696017695236823,0.23413841652861464,0.31486685579582935,0.3582698657532346,0.319889221889494,0.3873016987119854,0.30569522900920654,0.38504765902663257,0.3162272157185037,0.38218150923973687,0.31264056419327213,0.08458951663697062,0.07725856373661318,-0.054566072530308485,0.12590576813603793,0.10973007623291878,-0.3290004957391719,-0.42894713631608833,-0.172683607166002,-0.22721314704060985
C4H73CS = Seasonal exercise/activity C?,0.4117795317781533,0.46512168371819873,0.466588316782994,0.4617576905276019,0.47094777881317756,0.4801921705989439,0.6749791996602291,0.6798169218095921,0.6927873943835692,0.7019389048361315,0.6736032003552966,0.6530613440648569,0.9963794648878679,1.0,0.9981996451406417,0.997992885895448,0.9969567228841982,0.9939657982171972,0.33307994880849745,0.33337313953992487,0.3334332007058004,0.3334126629271211,0.33232229888988124,0.33149845327156713,0.20083568333842836,0.2010576160022166,0.20112965506950586,0.20116963469295873,0.19937587432928205,0.1995532026775236,0.12426158394224654,0.12442125942002785,0.12441385377026264,0.12438619174148707,0.12348974902724766,0.12390357954612369,0.073844403808144,0.073850222690295,0.07382627460012552,0.07384458376029054,0.07383010018845478,0.07345715640241984,0.3951760232768453,-0.06500637467579345,0.42536790762397264,0.2631047689476238,-0.3186309997180236,-0.3121358310329753,-0.3211557356776048,-0.10480282936187078,-0.22862660837221346,0.22967641540953337,-0.18705516657372487,-0.14771216526454065,-0.1023075637113298,-0.1629766664844446,0.21500714098401472,0.29658387042073453,0.3403063030795657,0.30047750443219434,0.3695011549391805,0.2888215412147704,0.36646176396557295,0.2973018977320294,0.36376846343472896,0.294615885411259,0.07644979913783966,0.0738976915173748,-0.05173663920098596,0.11642434750020991,0.104583718151327,-0.3084519647937031,-0.39907458463761464,-0.15215973545672332,-0.21490247874895768
C4H73CFD = How many times per day do you do exercise/activity C?,0.4072268361622082,0.4661925920314611,0.467531871684957,0.4621742010136513,0.4719345656532379,0.4805820941767855,0.6738787665104333,0.6794345893670068,0.6940330264994772,0.7040058125501346,0.6725028690430415,0.6485935105005545,0.9986360019334601,0.9981996451406417,1.0,0.9998613907936896,0.9937446492848874,0.9970371062119135,0.30232487156871923,0.3028661755817306,0.3029449084985722,0.3028855893601184,0.30168892640175227,0.301263529871241,0.18265352044426644,0.1829151829365519,0.18297243948803746,0.18292982383393497,0.1812399000310408,0.18152968969155678,0.11544007157067113,0.11550608810836226,0.11553419799957157,0.11548691511387738,0.11481975851696977,0.11471458051472196,0.07222992805579423,0.07222816792109808,0.07225030838400942,0.0722269090500816,0.07223090532722574,0.07203523268640066,0.42382620377269115,-0.07003115192311524,0.45273719227564596,0.27791949157102047,-0.33558130568907574,-0.3304466669756656,-0.3393290710720656,-0.11557229063879365,-0.23904817682969726,0.2505514660643886,-0.1880079295554893,-0.1550207568489745,-0.11467260120818004,-0.1657889117353538,0.23519890226062234,0.31483825061228377,0.3575447133313823,0.3198343659396647,0.3869855694496829,0.30531547965250416,0.38466475128036154,0.315993044383622,0.3816450594016934,0.312459221237776,0.08460964086660369,0.07750275192448394,-0.05359050000754432,0.1255745058436611,0.10978959610040771,-0.3284913010113385,-0.4238343262918726,-0.1675272179629697,-0.2267830118168112
C4H73CFW = How many days per week do you do exercise/activity C?,0.4071442152890143,0.46613663499305935,0.4674479114562525,0.4621333711631497,0.47188352298657754,0.4801558667421942,0.6737006085525723,0.6793409558133557,0.6939143767807157,0.7039620110933821,0.672566317763882,0.6485584228731744,0.9986108610172605,0.997992885895448,0.9998613907936896,1.0,0.9934592115809274,0.9971332403276734,0.3034438244628215,0.30412290194479,0.30419366572438894,0.30417715327842393,0.30290540825754697,0.3025559983017042,0.18358576116584194,0.18359992454209412,0.18370953121159272,0.18362677801610938,0.18219931151273072,0.18244077464960132,0.11883787472277108,0.11888210292729955,0.11889518313920104,0.11885949203778141,0.11826087358457386,0.11809613058530859,0.07478593134459087,0.07478310142388817,0.0747965640809275,0.07478743106028608,0.07477252156847201,0.07454732438635903,0.42378986259320917,-0.07036009621434315,0.4534662472943582,0.2785927447897178,-0.335558096372488,-0.3303088258039852,-0.3392466926976216,-0.11518049340060883,-0.2394163510330313,0.2502833038345264,-0.18764448188885088,-0.15465117275394474,-0.11502481203945913,-0.16520182861658936,0.23518420217017227,0.3135462311377862,0.35693681273888106,0.31884972645474824,0.3864878414926372,0.30438951084868476,0.38415377494419867,0.31502439642756963,0.3811031275854204,0.31149667606722736,0.08378886054596418,0.0769223981430592,-0.053700139384483925,0.12465512522400919,0.10906492483351811,-0.32815502073122044,-0.42331537128507124,-0.1665425519419134,-0.22660482223930933
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.4124320600511569,0.4627168344986884,0.4644401828337774,0.46000618821938505,0.46960182573124787,0.478170256652271,0.673311726441099,0.6774775387915061,0.6896831870260823,0.6984859606684787,0.6723319458554335,0.6527464082524262,0.9918283946479008,0.9969567228841982,0.9937446492848874,0.9934592115809274,1.0,0.9890744462451003,0.34986152565096496,0.3501777491224807,0.3503072747300834,0.3504350691908277,0.3491691504602469,0.3489732246107806,0.2077487506595702,0.2078390961984555,0.208099342618878,0.2084154039073704,0.20661312860268632,0.20744129427064623,0.12351344168969845,0.12349560527385343,0.12379709257529448,0.12400635225627575,0.12196794596703428,0.12452433415656892,0.08083975564027089,0.08081736090805135,0.08089989818260128,0.08080783622303427,0.08083280457944071,0.08086036436128781,0.37883763509777063,-0.06119146677734252,0.4086893120797729,0.25774580971616257,-0.31040993008197065,-0.30292483330105,-0.31196000449417977,-0.10110221949135759,-0.22501083414532208,0.2183920118031098,-0.18597863848396942,-0.13939502569623846,-0.09497002406623978,-0.15842114452789002,0.20591333364215733,0.2871428049028124,0.3298494835549496,0.28868475483723854,0.35783206497344805,0.2796610668288754,0.3549726307222503,0.28660935658274544,0.35238657229516474,0.2843207116972786,0.07321008194576058,0.07306429234073145,-0.04930763047515596,0.11276940116089382,0.10275283441452575,-0.292265043601253,-0.3872423297370706,-0.14241479774358393,-0.20536012367236964
C4H73CI = What is the intensity of exercise/activity C?,0.40501220101694363,0.46488077238337466,0.4660638764771606,0.4608135466531798,0.4708788743819654,0.4801725725815583,0.6714591885637389,0.6772097689952189,0.6919317257347366,0.7020056728703731,0.6708814199984444,0.646420186213526,0.995475760239302,0.9939657982171972,0.9970371062119135,0.9971332403276734,0.9890744462451003,1.0,0.30369813718516653,0.3041685368259968,0.3041621324607787,0.3041513755273581,0.30263449793040775,0.3033373088287969,0.19091327828082574,0.190567627381843,0.1905724270666724,0.19027430214467728,0.19044129665023868,0.18898791977427815,0.12151637029279108,0.12172208919650987,0.12167077130323746,0.12153030692631671,0.12128000070220274,0.11989640503026971,0.07878574331077344,0.07879875120512604,0.07869776878639015,0.07875637191383071,0.07874378505491116,0.0780704390208013,0.42916299939423413,-0.07354869170309489,0.4582835091550557,0.2813911695095498,-0.34056200053487884,-0.33655924830473566,-0.34515727532020896,-0.11929717343698928,-0.24510132589201278,0.2558609687757525,-0.18795194934382084,-0.15737014067559094,-0.12216031697653568,-0.16495864146953598,0.24180390460604478,0.31251113019945365,0.35737847711815285,0.3211182645565123,0.3858964704596296,0.3033990214154576,0.3845881122250695,0.3156969772760204,0.38112555460871067,0.3120256246800069,0.08702963165355523,0.07764421615690278,-0.054684832733409766,0.1272679388490234,0.11027326107213438,-0.3333725455685433,-0.42532965153439517,-0.17200376042882762,-0.22871706322548657
C4H73DC = Exercise/Activity D – Coded,0.18423547036674642,0.1374044666874963,0.1395926502069431,0.1451816207638585,0.1378552555120653,0.17703798680850294,0.21919716877878226,0.2179050310493117,0.21049327763907152,0.20461533232245524,0.2291155432728553,0.2582710856386013,0.29571477988008393,0.33307994880849745,0.30232487156871923,0.3034438244628215,0.34986152565096496,0.30369813718516653,1.0,0.9979930195611774,0.9980406287940118,0.9979527226244586,0.9944558647551844,0.9929587205283386,0.6089355784246054,0.6095923993376554,0.6097148384733019,0.6097288088600549,0.6043555583376308,0.6056610466534692,0.3825591009045709,0.38314130740699165,0.3829827402093569,0.3824972196098682,0.3803062149575461,0.3800104422146919,0.22951831671432552,0.22957325244499488,0.22957096838532556,0.22962358740981134,0.22961663254040512,0.22858329436554947,-0.1746644695332666,0.07093423087211714,-0.15276446730405036,-0.09900310696167731,0.04917442426908429,0.05506812368227096,0.05178977313149025,0.08188497380233949,0.029147727882433395,-0.19436020735241044,-0.03557903956980127,0.0001677086481126071,0.027167281123438046,0.026394879570859734,-0.134244322003428,-0.12736642207286292,-0.0443838567023459,-0.11839007108882706,-0.04318186583931714,-0.10142239823146901,-0.05060795820852044,-0.12288814418565078,-0.0450115906139234,-0.11028545982026644,-0.057405067759146146,-0.01669913448678677,-0.007584190491882684,-0.059245998674851606,-0.023334416601463952,0.10484227279109468,0.14705984519420742,0.07838869253898194,0.04815472945042673
C4H73DS = Seasonal exercise/activity D?,0.18468742088680468,0.13746825449524933,0.139970277343153,0.14568164674320255,0.13772343906084034,0.1773111030157237,0.21947775050271506,0.21824182216622268,0.21086318706219653,0.20499846067438623,0.22940777531788395,0.2586941602405586,0.29653499041265724,0.33337313953992487,0.3028661755817306,0.30412290194479,0.3501777491224807,0.3041685368259968,0.9979930195611774,1.0,0.9997220754218137,0.9994837590444625,0.9957043550380993,0.9935553163298165,0.5994716070670326,0.6004442824670241,0.6005800238500355,0.6003048579827375,0.5958119303162642,0.5957248462980502,0.38023990338954655,0.380592530646568,0.3806268630956601,0.38040374948814065,0.378363954837716,0.37795244488758584,0.23613723510773843,0.2361269004354355,0.23612078156124783,0.23617114080387774,0.23603164977550312,0.23519177501242067,-0.17411807165961746,0.07140552075920858,-0.1561269012369437,-0.0969601339303429,0.051009465766658775,0.05663302463989712,0.053509483771315175,0.08319407220152339,0.02643641372629526,-0.1927395375178688,-0.03407526892586356,0.00031672041403776256,0.02639078697448037,0.021301406922719427,-0.13847126567667523,-0.13630567661165863,-0.05417810137120383,-0.12688708939384521,-0.05138966883386449,-0.11027178035493355,-0.05927660588630819,-0.13131743156611073,-0.05411733108544034,-0.11916935338637455,-0.05787257610554162,-0.01601247259034016,-0.006447251272605087,-0.05969010495593262,-0.02290433906893003,0.1040157070108897,0.14883845368892512,0.0761767550177664,0.050415764648798794
C4H73DFD = How many times per day do you do exercise/activity D?,0.1844394554201149,0.13748999668978162,0.13998702070994637,0.14568493257096246,0.13767993642849552,0.17729609012816136,0.21963694330483313,0.21825086619192635,0.21091040343362202,0.20505399907464164,0.22938307010217354,0.2585098857196495,0.29663289964381107,0.3334332007058004,0.3029449084985722,0.30419366572438894,0.3503072747300834,0.3041621324607787,0.9980406287940118,0.9997220754218137,1.0,0.9997811780207202,0.9959417160503492,0.9942930816807285,0.6019497898109702,0.60271359315971,0.6029032632929933,0.6027712747229144,0.5972102231282372,0.5983936425017605,0.38086381114283824,0.3810651459407097,0.38114935303026104,0.38102012166598215,0.3788311474355051,0.3786645146803264,0.2376575295823249,0.2376517382258196,0.23772458680619346,0.23764759617302142,0.23766074509035998,0.23701692503298336,-0.1741113432451235,0.0704812009408352,-0.15570188962716375,-0.09662540163391002,0.05016175391506184,0.055645982397172174,0.05256299282991239,0.0830854416270049,0.027216958865138276,-0.19435195911648373,-0.035012336920585946,0.0002591581277583006,0.02531410313882493,0.022390444554628935,-0.13906910504452302,-0.13483815200073573,-0.05136994024296039,-0.12531312064811426,-0.04934530746848304,-0.10897475880452052,-0.05708746503490949,-0.1298814897853082,-0.05166974475480196,-0.11769333537489395,-0.05785397876984583,-0.015633303085481522,-0.006116795524667789,-0.059600897349818965,-0.022672826893265555,0.1052112884077943,0.14886453483753653,0.0774821574386261,0.050766289008534055
C4H73DFW = How many days per week do you do exercise/activity D?,0.18450015015858512,0.13753564804027518,0.1399188256202116,0.14563248951095542,0.13760193500121723,0.17711141311314024,0.2196111172496098,0.21819817050893972,0.21087468735100878,0.20504463738663245,0.22915995218973445,0.2583560992429447,0.2964161842607699,0.3334126629271211,0.3028855893601184,0.30417715327842393,0.3504350691908277,0.3041513755273581,0.9979527226244586,0.9994837590444625,0.9997811780207202,1.0,0.9954032280680013,0.9945283915617387,0.6021496669803102,0.6027710561384407,0.6030405292558394,0.6029837415716506,0.5973583387950852,0.5985586705248482,0.37845215117868675,0.37867588581910766,0.3788503427633427,0.378821796787384,0.3762578122037407,0.3767271378584585,0.23716488549322748,0.23715934481329518,0.2372633919160365,0.23714921891797625,0.23719967405559908,0.23664973788823368,-0.17453173289147905,0.06966247770699875,-0.1551271750569941,-0.09512461873712276,0.04956220296485851,0.05523153886040719,0.05201642553257477,0.08159513302608407,0.027158261359491107,-0.19435069023919777,-0.03536392207136642,0.001086616292956948,0.025250414170514872,0.023404603579736106,-0.13777602688340465,-0.13378791712590915,-0.05129636867693324,-0.12472503561189288,-0.04918722653226223,-0.10788795554172094,-0.057051193714653725,-0.12896550154633998,-0.05155919693403637,-0.1168443072353706,-0.057945469696410824,-0.016010410060916302,-0.006316644422415082,-0.0597908312334068,-0.023054338918865613,0.10618214487121283,0.1485997207439847,0.07869492916880146,0.04978383581421664
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.18368222308028034,0.13692964999734952,0.13948241699468417,0.14494523193038047,0.1375680230122309,0.1757507713851303,0.2186304533556719,0.21750828734853997,0.21004578373914254,0.20406261521548769,0.2279699144267241,0.25583984194949466,0.2959998114089105,0.33232229888988124,0.30168892640175227,0.30290540825754697,0.3491691504602469,0.30263449793040775,0.9944558647551844,0.9957043550380993,0.9959417160503492,0.9954032280680013,1.0,0.9909456594261411,0.6038447326080123,0.6055224264331753,0.6050737729123266,0.6049666686388835,0.6011651546681053,0.6011759919320807,0.38843990854850646,0.388732094601048,0.3888231256251442,0.38860177740945545,0.38600734120821734,0.386569580619597,0.2396603913246849,0.23964967255825434,0.2397960329511721,0.2396895993472452,0.2396900209565552,0.2393055857017059,-0.17447233165590378,0.07122035498808775,-0.15386152953548998,-0.1026929969649305,0.053292586009629876,0.058961665333590846,0.0557395656456667,0.08679180655561863,0.022031936699782987,-0.18984526467955606,-0.0320008369388827,0.0021857462984177073,0.02920544194401864,0.02077456658564352,-0.13662946873701892,-0.13519622664667771,-0.04601547928338813,-0.12416008098429329,-0.04500322104085786,-0.10841306992252146,-0.051775951581285194,-0.12911762210218658,-0.04680298072068179,-0.1168572475513828,-0.056987365237516845,-0.013958018230238248,-0.003977134569518055,-0.05855296321702002,-0.021258668693196734,0.10347075048402835,0.1417358486979305,0.0716207842042466,0.05525131819530681
C4H73DI = What is the intensity of exercise/activity D?,0.18276070679750683,0.1364544823243378,0.1389569846541168,0.1447416902499187,0.1375880998723009,0.17546208163121446,0.2190884983201408,0.21683516197349673,0.20973673875376422,0.2038568829951015,0.22776236895090832,0.25791793121847695,0.2945229702162593,0.33149845327156713,0.301263529871241,0.3025559983017042,0.3489732246107806,0.3033373088287969,0.9929587205283386,0.9935553163298165,0.9942930816807285,0.9945283915617387,0.9909456594261411,1.0,0.6265755021450528,0.6256278217302073,0.6261262969345592,0.6263197131661656,0.6199236935237258,0.6248882852874966,0.38608474810299226,0.3855261173024517,0.3861558496447472,0.38646073501701694,0.3832285849593521,0.38418947240098555,0.24921323596548153,0.24911078263660444,0.24977650353694147,0.2491614956280164,0.2494102037571794,0.2509224168551775,-0.17275962567038167,0.07220121538652881,-0.14921333163403314,-0.09205278789796104,0.04902550086414855,0.0545459533140655,0.05144473548647469,0.08503235812409164,0.020721046530240768,-0.19456196975405587,-0.03662900646790213,0.0010834161453877789,0.02012269092452102,0.029726237795631046,-0.13235464289632912,-0.1337327092787426,-0.04393544839134489,-0.12261419889632177,-0.04308932569662829,-0.10782078249356247,-0.05032646083727253,-0.12847159197545316,-0.04469731947984668,-0.11563709209344401,-0.05579232888531479,-0.011109423415010235,-0.002510938554416957,-0.056939846587665544,-0.018377999007286663,0.10124189100108351,0.15005978228823724,0.08732618188333706,0.04626638005408975
C4H73EC = Exercise/Activity E – Coded,0.10653620911348015,0.08270464676044866,0.08306280993811324,0.08526290799886474,0.07787470651800563,0.09981505889375547,0.12953585060698122,0.13221644372847252,0.1271490504088995,0.12401592407891125,0.13134858000337712,0.1479797156922972,0.17501119886487182,0.20083568333842836,0.18265352044426644,0.18358576116584194,0.2077487506595702,0.19091327828082574,0.6089355784246054,0.5994716070670326,0.6019497898109702,0.6021496669803102,0.6038447326080123,0.6265755021450528,1.0,0.9974907578434914,0.9982819237318643,0.997860845501269,0.9897300800711094,0.9926876466546105,0.6358287551249534,0.6362840613887123,0.6365907314233755,0.6366889992103643,0.6316891088965323,0.6339556754295635,0.3953539512161777,0.3953255466170714,0.3953807805124598,0.39509468614677146,0.39535929319491037,0.39403573234109834,-0.11069978637799953,0.04366999282265631,-0.09110546660340324,-0.0321295645873599,0.007198765511234578,0.008744628813114505,0.007242177750589812,0.03822324643132398,-0.0212359952894962,-0.14558694139649092,-0.05461396832463616,0.025571978457777287,-0.002163253067911659,0.028480153241346277,-0.053562294964748,-0.05561966095075361,0.05911896792133138,-0.04462170236058518,0.037261185401991956,-0.04215699850003673,0.039348172946204754,-0.04835790933822286,0.04815061381341601,-0.042270298386726815,-0.0829574573563166,-0.04158061342956406,-0.04019132816571404,-0.07813393434626517,-0.04414878263530165,0.06064631975222562,0.08320660657470387,0.11780531294719473,0.056151110091505425
C4H73ES = Seasonal exercise/activity E?,0.10796775895133753,0.08277555601599952,0.08337865019635263,0.08545888805485276,0.07601059555727856,0.10084931517950912,0.12898641793752,0.13231442216418252,0.12730465987848483,0.12420301686025274,0.13059158805140278,0.14740751197584626,0.1754385499660102,0.2010576160022166,0.1829151829365519,0.18359992454209412,0.2078390961984555,0.190567627381843,0.6095923993376554,0.6004442824670241,0.60271359315971,0.6027710561384407,0.6055224264331753,0.6256278217302073,0.9974907578434914,1.0,0.9996302382153149,0.9992009831317799,0.9909127845424621,0.9903022929506821,0.6315312855424334,0.632083477780083,0.632260344614256,0.6319125055601782,0.6281225461743544,0.6272907892945322,0.39238999865569907,0.3923537249539269,0.39248773838296547,0.39245389559634697,0.3922689411517964,0.391399318313656,-0.1077218500653016,0.046392392660001884,-0.09453974687682888,-0.03495678197427424,0.009451114286894748,0.010957973928840183,0.009538004774963938,0.038116036650909645,-0.018114116408002184,-0.14285643119788435,-0.0548955161676349,0.02458100364956413,0.0005975769535460013,0.022370059470299193,-0.05393032691145759,-0.057269213198275555,0.0567495233838954,-0.04808549959876519,0.03508759250021608,-0.04473127411311231,0.03756247571286973,-0.05022865849451259,0.045782963646859805,-0.04547840544527234,-0.08765954396661439,-0.049075179938211214,-0.04732361937827916,-0.08313194953896942,-0.05109595296250112,0.06011817395987785,0.08130621612609203,0.11782645556077917,0.060347426579673784
C4H73EFD = How many times per day do you do exercise/activity E?,0.10761770381684159,0.08273899320424767,0.08331709635291161,0.08544369947201494,0.07637615226213305,0.10049666297041292,0.12920589555417922,0.13231154577872872,0.127351081126333,0.12428687101675866,0.1306982186304346,0.14773837738588685,0.1753697033182711,0.20112965506950586,0.18297243948803746,0.18370953121159272,0.208099342618878,0.1905724270666724,0.6097148384733019,0.6005800238500355,0.6029032632929933,0.6030405292558394,0.6050737729123266,0.6261262969345592,0.9982819237318643,0.9996302382153149,1.0,0.9997679437697118,0.9907201759969247,0.9925024830656075,0.630204763436388,0.6306053825285984,0.6307112902187266,0.6304568875095942,0.6268867017947143,0.6265537009465232,0.3927514411185038,0.39274925349209705,0.39283157104464766,0.3927449768998595,0.3927446492196606,0.3915384255869799,-0.10851223828917536,0.04530328133658893,-0.09388511656813832,-0.034342319846750555,0.009011143696871716,0.010461395606319045,0.00906184726224371,0.03816519266752765,-0.01844764576028865,-0.14280496632287357,-0.05468241458334821,0.025375947615442988,0.00045873440077377173,0.024507088531676276,-0.05331089400035108,-0.05723175328062135,0.05702897029105182,-0.04755849568894112,0.03534792201417596,-0.04441419913055796,0.03773343236958423,-0.04973053157623137,0.04605789871486398,-0.044994245918257084,-0.08685694206645134,-0.0479862947047237,-0.04600984525673919,-0.08237777711857973,-0.050118784378205605,0.06073304834710762,0.08231215632037,0.11866040961793181,0.059332111117077
