Physical Activity Variable,Motivation Variable,Correlation,P-value
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q1L = MASQ Felt depressed,0.26968062677108817,4.1745078505162294e-203
C4H73CS = Seasonal exercise/activity C?,C4Q1A = MASQ Felt sad,0.2650150753046817,5.931677004583966e-196
C4H73CI = What is the intensity of exercise/activity C?,C4H1V = Have you ever had depression?,-0.2616434339192337,7.1269989495467e-191
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q1FF = MASQ Was unable to relax,0.2612922631795061,2.3861531663261413e-190
C4H73BFW = How many days per week do you do exercise/activity B?,C4H1V = Have you ever had depression?,-0.25754880381918427,8.354557230937319e-185
C4H73CFD = How many times per day do you do exercise/activity C?,C4H1V = Have you ever had depression?,-0.25606140077086814,1.2575242076948894e-182
C4H73CC = Exercise/Activity C – Coded,C4Q3R = CESD I felt sad,0.2547856202975218,9.033548867094182e-181
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.25366405843318635,3.794041504751526e-179
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q3R = CESD I felt sad,0.251845442160839,1.5629066223911411e-176
C4H73BFD = How many times per day do you do exercise/activity B?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.24437936981541203,5.0832474887062455e-166
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.2439073897804644,2.2841055081927137e-165
C4H73CFW = How many days per week do you do exercise/activity C?,C4H1V = Have you ever had depression?,-0.2433330897288134,1.4153058926900458e-164
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.24073968282470395,5.033343777749155e-161
C4H73CC = Exercise/Activity C – Coded,C4H1V = Have you ever had depression?,-0.24057909602982655,8.324092589419959e-161
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.2392788437194289,4.823208863812209e-159
C4H73AS = Seasonal exercise/activity A?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.23641424005524078,3.386524556089005e-155
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q3F = CESD I felt depressed,0.2328642495502001,1.6781884621516484e-150
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.22645702132326265,3.1576467941874955e-142
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.22645702132326265,3.1576467941874955e-142
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q1L = MASQ Felt depressed,0.22633765813347712,4.478057828930815e-142
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.22624521635119055,5.868599964302432e-142
C4H73CS = Seasonal exercise/activity C?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.2250021026352229,2.2015642868564954e-140
C4H73AFD = How many times per day do you do exercise/activity A?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.2240190383415136,3.809282131284448e-139
C4H73AC = Exercise/Activity A – Coded,C4AD510 = Sun AM How Difficult To Fall Asleep,0.22289128841659128,9.858690241916077e-138
C4H73CC = Exercise/Activity C – Coded,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.2222597559886443,6.048478743308038e-137
C4H73CC = Exercise/Activity C – Coded,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.2222597559886443,6.048478743308038e-137
C4H73CS = Seasonal exercise/activity C?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.2193815356586587,2.193103861664831e-133
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q1FF = MASQ Was unable to relax,0.2171083678690108,1.3068894824406571e-130
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.21387597804054778,1.0185904192673335e-126
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.21387597804054778,1.0185904192673335e-126
C4H73AC = Exercise/Activity A – Coded,C4Q1A = MASQ Felt sad,-0.21312416455928646,8.017342864377741e-126
C4H73CC = Exercise/Activity C – Coded,C4Q3F = CESD I felt depressed,0.21114261488356403,1.7750144862680047e-123
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q1L = MASQ Felt depressed,0.2109326619001544,3.135327685881535e-123
C4H73AS = Seasonal exercise/activity A?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.2083172116272856,3.563078461854616e-120
C4H73CS = Seasonal exercise/activity C?,C4Q1FF = MASQ Was unable to relax,0.20817981724372114,5.1427140897513755e-120
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q1A = MASQ Felt sad,0.20481733459373908,3.7656886980558045e-116
C4H73CI = What is the intensity of exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.2035043188287422,1.165290739790727e-114
C4H73CI = What is the intensity of exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.2035043188287422,1.165290739790727e-114
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q3F = CESD I felt depressed,0.20300877361855899,4.229609073729662e-114
C4H73AI = What is the intensity of exercise/activity A?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.20300111939637236,4.3145585730780405e-114
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.2018691852609949,8.09474473478255e-113
C4H73AS = Seasonal exercise/activity A?,C4Q1FF = MASQ Was unable to relax,0.20154427520289406,1.871800373592558e-112
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q1FF = MASQ Was unable to relax,0.2010052181850313,7.496634033032302e-112
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.19983686254982483,1.496160527809646e-110
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.19983686254982483,1.496160527809646e-110
C4H73CS = Seasonal exercise/activity C?,C4Q1L = MASQ Felt depressed,0.1979133764383815,1.9841315815470696e-108
C4H73CI = What is the intensity of exercise/activity C?,C4Q3F = CESD I felt depressed,0.19586604290363163,3.4083162015661123e-106
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q3R = CESD I felt sad,0.19304020540665573,3.769904711963331e-103
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H1V = Have you ever had depression?,-0.19067560995935506,1.2213498242226697e-100
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.1895581047380529,1.8271417568332997e-99
C4H73AS = Seasonal exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.18939066164654259,2.736423300100139e-99
C4H73AS = Seasonal exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.18939066164654259,2.736423300100139e-99
C4H73CI = What is the intensity of exercise/activity C?,C4AD510 = Sun AM How Difficult To Fall Asleep,-0.1891591962200794,4.779584435471541e-99
C4H73AS = Seasonal exercise/activity A?,C4Q1A = MASQ Felt sad,0.1888928997128328,9.070944926516692e-99
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q3R = CESD I felt sad,0.18746146906403005,2.7939823688163765e-97
C4H73AI = What is the intensity of exercise/activity A?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.18742388895880366,3.0559124577827105e-97
C4H73AS = Seasonal exercise/activity A?,C4Q1L = MASQ Felt depressed,0.18580209147970853,1.4345228797826156e-95
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.18560835253896957,2.2664976003099536e-95
C4H73BS = Seasonal exercise/activity B?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.18205519215005497,9.107332294848275e-92
C4H73CS = Seasonal exercise/activity C?,C4Q3R = CESD I felt sad,0.17958821604714023,2.6188905224570443e-89
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q3F = CESD I felt depressed,0.17949642277903435,3.2278705975470125e-89
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.17946904758674628,3.4354622685705484e-89
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.17946904758674628,3.4354622685705484e-89
C4H73AFD = How many times per day do you do exercise/activity A?,C4H1V = Have you ever had depression?,-0.17860914561849336,2.4212568460714913e-88
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.17859798162994367,2.4832625181609048e-88
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.17859798162994367,2.4832625181609048e-88
C4H73AC = Exercise/Activity A – Coded,C4Q1FF = MASQ Was unable to relax,-0.17799501986934205,9.706472581715505e-88
C4H73CC = Exercise/Activity C – Coded,C4Q4G = PSS Able to control irritations in your life,-0.1765220296891501,2.6573174696442955e-86
C4H73CC = Exercise/Activity C – Coded,C4Q4G = PSS Able to control irritations in your life,-0.1765220296891501,2.6573174696442955e-86
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q4G = PSS Able to control irritations in your life,-0.17613823190507746,6.264485055752091e-86
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q4G = PSS Able to control irritations in your life,-0.17613823190507746,6.264485055752091e-86
C4H73CFD = How many times per day do you do exercise/activity C?,C4AD510 = Sun AM How Difficult To Fall Asleep,-0.1746208172742025,1.8239002574116052e-84
C4H73AS = Seasonal exercise/activity A?,C4Q3F = CESD I felt depressed,0.174385996975991,3.064615803506833e-84
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q3R = CESD I felt sad,0.1719095621320636,6.977363151991748e-82
C4H73BFD = How many times per day do you do exercise/activity B?,C4H1V = Have you ever had depression?,-0.17057053415743445,1.2690767169665157e-80
C4H73CS = Seasonal exercise/activity C?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.16937290618041873,1.665148752262527e-79
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.16917562636134462,2.539885710938095e-79
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.16841368420119052,1.290880534484174e-78
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.16841368420119052,1.290880534484174e-78
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q3F = CESD I felt depressed,0.1677047716123531,5.818406500898979e-78
C4H73BI = What is the intensity of exercise/activity B?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.16764360596347475,6.623517711644135e-78
C4H73BFW = How many days per week do you do exercise/activity B?,C4AD510 = Sun AM How Difficult To Fall Asleep,-0.16382080184067677,1.9770846925354276e-74
C4H73BC = Exercise/Activity B – Coded,C4Q1AA = MASQ Felt like I had a lot of energy,-0.16312309166462696,8.339999579388221e-74
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.1626432937728796,2.2358167806930953e-73
C4H73CS = Seasonal exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.16252596927372576,2.844195592236623e-73
C4H73CS = Seasonal exercise/activity C?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.16252596927372576,2.844195592236623e-73
C4H73CS = Seasonal exercise/activity C?,C4H1V = Have you ever had depression?,-0.16246952271975074,3.193147445835526e-73
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.16213498555465816,6.334500231012639e-73
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.1614297886818187,2.6712669163069394e-72
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.1614297886818187,2.6712669163069394e-72
C4H73CI = What is the intensity of exercise/activity C?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.16043296734481538,2.0198455346468036e-71
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q3F = CESD I felt depressed,0.15986524664306978,6.355693827602106e-71
C4H73CC = Exercise/Activity C – Coded,C4Q1AA = MASQ Felt like I had a lot of energy,-0.15944297340506217,1.4868421508544637e-70
C4H73AC = Exercise/Activity A – Coded,C4Q1AA = MASQ Felt like I had a lot of energy,-0.1571410864926298,1.4667802392622515e-68
C4H73AC = Exercise/Activity A – Coded,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.1564393302787538,5.864965618363011e-68
C4H73AI = What is the intensity of exercise/activity A?,C4Q3F = CESD I felt depressed,0.1560708505957362,1.2111193660890359e-67
C4H73AI = What is the intensity of exercise/activity A?,C4H1V = Have you ever had depression?,-0.15600612185505264,1.375394897786058e-67
C4H73AS = Seasonal exercise/activity A?,C4Q3R = CESD I felt sad,0.15551481909096634,3.6052314701567984e-67
C4H73AI = What is the intensity of exercise/activity A?,C4Q1A = MASQ Felt sad,0.1551627202662584,7.178176768972935e-67
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q1L = MASQ Felt depressed,0.1551142195334771,7.89144287773182e-67
C4H73AI = What is the intensity of exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.15276715328944165,7.449275090704629e-65
C4H73AI = What is the intensity of exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.15276715328944165,7.449275090704629e-65
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.15211145535030438,2.6197128671213274e-64
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.15211145535030438,2.6197128671213274e-64
C4H73DFD = How many times per day do you do exercise/activity D?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.15147318950820463,8.861895132623066e-64
C4H73DFW = How many days per week do you do exercise/activity D?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.1513567879992098,1.1061177285452782e-63
C4H73DS = Seasonal exercise/activity D?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.15135619487377308,1.107367377583034e-63
C4H73DC = Exercise/Activity D – Coded,C4AD510 = Sun AM How Difficult To Fall Asleep,0.1505063587159274,5.557121493662617e-63
C4H73DI = What is the intensity of exercise/activity D?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.14994660079058203,1.599720882055876e-62
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.14968103134948402,2.638037235013783e-62
C4H73CI = What is the intensity of exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.14836394691543034,3.1099382310926717e-61
C4H73CI = What is the intensity of exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.14836394691543034,3.1099382310926717e-61
C4H73AS = Seasonal exercise/activity A?,C4H1V = Have you ever had depression?,-0.14697322796833276,4.1063977331684965e-60
C4H73CC = Exercise/Activity C – Coded,C4AD510 = Sun AM How Difficult To Fall Asleep,-0.14696328887690446,4.182452584294678e-60
C4H73BC = Exercise/Activity B – Coded,C4Q1A = MASQ Felt sad,0.1466917225384542,6.902079776205755e-60
C4H73CFW = How many days per week do you do exercise/activity C?,C4AD510 = Sun AM How Difficult To Fall Asleep,-0.14638647293057241,1.2106382354753905e-59
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.14629425377307012,1.4342873279948546e-59
C4H73AI = What is the intensity of exercise/activity A?,C4Q1L = MASQ Felt depressed,0.14360207382324594,1.92631254238874e-57
C4H73DFW = How many days per week do you do exercise/activity D?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.14082089707762305,2.7558075885213582e-55
C4H73DI = What is the intensity of exercise/activity D?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.14027539353542237,7.209891793238465e-55
C4H73AI = What is the intensity of exercise/activity A?,C4Q3R = CESD I felt sad,0.13926985327038424,4.2020868567581846e-54
C1PA24EC = High blood pressure therapy - Exercise,C4Q1A = MASQ Felt sad,-0.1385798134480421,1.3980376492714987e-53
C4H73DC = Exercise/Activity D – Coded,C4Q1AA = MASQ Felt like I had a lot of energy,-0.13829294458071442,2.300194830324286e-53
C4H73DC = Exercise/Activity D – Coded,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.13804927684125995,3.5081812914498023e-53
C4H73DFD = How many times per day do you do exercise/activity D?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.13794345033225194,4.213026860451015e-53
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.13789171654882243,4.607244642570042e-53
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q3F = CESD I felt depressed,0.13688681670189173,2.6004350074272226e-52
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.13674725415194489,3.3035636902728296e-52
C4H73DS = Seasonal exercise/activity D?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.13662938850125042,4.042741489499423e-52
C4H73DS = Seasonal exercise/activity D?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.13559622159089096,2.3552232376222008e-51
C4H73DFD = How many times per day do you do exercise/activity D?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.1355911448251116,2.3756262659413837e-51
C4H73DI = What is the intensity of exercise/activity D?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.13491441508398647,7.478797100548828e-51
C4H73BC = Exercise/Activity B – Coded,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.13448153318616157,1.552660663427121e-50
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.13440449124087056,1.7677798017536862e-50
C4H73DFW = How many days per week do you do exercise/activity D?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.13258157816844746,3.724785056483227e-49
C4H73BC = Exercise/Activity B – Coded,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.13014839387521823,2.037061250788396e-47
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.12945951152745272,6.23797553588825e-47
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.12945951152745272,6.23797553588825e-47
C4H73CS = Seasonal exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.1287667730897234,1.9104646306578556e-46
C4H73CS = Seasonal exercise/activity C?,C4Q4G = PSS Able to control irritations in your life,-0.1287667730897234,1.9104646306578556e-46
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q4G = PSS Able to control irritations in your life,-0.1282113433216461,4.66611511001443e-46
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q4G = PSS Able to control irritations in your life,-0.1282113433216461,4.66611511001443e-46
C4H73BC = Exercise/Activity B – Coded,C4Q1FF = MASQ Was unable to relax,0.1274495020708593,1.577985462657057e-45
C4H73BC = Exercise/Activity B – Coded,C4Q3R = CESD I felt sad,0.12740927637175106,1.6824905132122818e-45
C4H73AI = What is the intensity of exercise/activity A?,C4Q1FF = MASQ Was unable to relax,0.12600650815852868,1.5542214712966306e-44
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q4G = PSS Able to control irritations in your life,-0.12513279800010096,6.128958151009438e-44
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q4G = PSS Able to control irritations in your life,-0.12513279800010096,6.128958151009438e-44
C4H73AS = Seasonal exercise/activity A?,C4Q4G = PSS Able to control irritations in your life,-0.12433055998695317,2.141835441629467e-43
C4H73AS = Seasonal exercise/activity A?,C4Q4G = PSS Able to control irritations in your life,-0.12433055998695317,2.141835441629467e-43
C4H73CS = Seasonal exercise/activity C?,C4Q3F = CESD I felt depressed,0.12210380193805921,6.613002552411232e-42
C4H73AC = Exercise/Activity A – Coded,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.11804265499305042,2.927618544583979e-39
C4H73BC = Exercise/Activity B – Coded,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.11565786019407273,9.50503562599983e-38
C4H73BC = Exercise/Activity B – Coded,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.11565786019407273,9.50503562599983e-38
C1PA24EC = High blood pressure therapy - Exercise,C4Q1FF = MASQ Was unable to relax,-0.11349327616790622,2.1024069143524266e-36
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.1125193834943764,8.305234983554634e-36
C4H73AC = Exercise/Activity A – Coded,C4Q1L = MASQ Felt depressed,-0.11244276610601193,9.248448948424782e-36
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q3F = CESD I felt depressed,-0.11243929638270503,9.293595860003337e-36
C4H73FI = What is the intensity of exercise/activity F?,C4Q3F = CESD I felt depressed,-0.11228252345623062,1.1579015902534107e-35
C4H73FS = Seasonal exercise/activity F?,C4Q3F = CESD I felt depressed,-0.11223430723973352,1.2388314864565672e-35
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q3F = CESD I felt depressed,-0.11222209363164919,1.2602086223064484e-35
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.11219198968313082,1.3144765485846915e-35
C4H73EC = Exercise/Activity E – Coded,C4Q1AA = MASQ Felt like I had a lot of energy,-0.11211895831176531,1.4559708922303372e-35
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q3F = CESD I felt depressed,-0.11211002600564686,1.4742839265771867e-35
C4H73EI = What is the intensity of exercise/activity E?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.11195022542701971,1.8434138894186854e-35
C4H73FC = Exercise/Activity F – Coded,C4Q3F = CESD I felt depressed,-0.11186524831165566,2.0757240396036045e-35
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.11179828282787882,2.2790962589782733e-35
C4H73AC = Exercise/Activity A – Coded,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.11116037824536618,5.53621584293077e-35
C4H73ES = Seasonal exercise/activity E?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.11100459407946657,6.870771823433549e-35
C4H73AC = Exercise/Activity A – Coded,C4Q3R = CESD I felt sad,-0.11077449341327941,9.447089248028305e-35
C4H73ES = Seasonal exercise/activity E?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.11061590867228084,1.1760879008635721e-34
C4H73EFW = How many days per week do you do exercise/activity E?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.11020760003230097,2.064272130312851e-34
C4H73EFD = How many times per day do you do exercise/activity E?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.11018386190658894,2.1327672022642403e-34
